ID,Name,Description,Type,Lat,Lon,URL,Region,State / Province,Provider,Provider Type,broken asset,Provider URL,Measurements
RH_522,A16N,A16N,Repeat Hydrography,3.05816262011 :: 63.0651870188,-28.9815175799 :: -19.9554801256,http://cchdo.ucsd.edu/search?query=a16,North Atlantic Ocean,,GO-SHIP,unassigned,,http://cchdo.ucsd.edu/search?query=a16,"Alkalinity (total), Dissolved Inorg. Carbon, Oxygen Concentration, Salinity, Water Temperature"
RH_523,A16S,A16S,Repeat Hydrography,-60.0593025683 :: 2.65672683479,-36.2198752903 :: -24.891880968,http://cchdo.ucsd.edu/search?query=a16,North Atlantic Ocean,,GO-SHIP,unassigned,,http://cchdo.ucsd.edu/search?query=a16,"Alkalinity (total), Dissolved Inorg. Carbon, Oxygen Concentration, Salinity, Water Temperature"
RH_524,A20,A20,Repeat Hydrography,6.88658052277 :: 43.3027255096,-53.6428556696 :: -50.5214146199,http://cchdo.ucsd.edu/search?query=a20,North Atlantic Ocean,,GO-SHIP,unassigned,,http://cchdo.ucsd.edu/search?query=a20,"Alkalinity (total), Dissolved Inorg. Carbon, Oxygen Concentration, Salinity, Water Temperature"
RH_525,A22,A22,Repeat Hydrography,10.6938571511 :: 40.0363862779,-70.0015014034 :: -61.5973302893,http://cchdo.ucsd.edu/search?query=a22,North Atlantic Ocean,,GO-SHIP,unassigned,,http://cchdo.ucsd.edu/search?query=a22,"Alkalinity (total), Dissolved Inorg. Carbon, Oxygen Concentration, Salinity, Water Temperature"
FOTS_2,AK,AK,Fixed Ocean Time Series,33.0637,35.1039,http://www.ocean.org.il/MainPageEng.asp,North Atlantic Ocean,Israel,NIOLR,unassigned,,http://www.ocean.org.il/MainPageEng.asp,"Alkalinity (total), Chlorophyll, Oxygen Concentration, pH, Salinity, Water Temperature"
RH_519,AR07W/A01W,AR07W/A01W,Repeat Hydrography,53.6715 :: 60.5677,-55.5402 :: -48.2242,http://cchdo.ucsd.edu/search?query=ar07,"Davis Strait, North Atlantic Ocean",,GO-SHIP,unassigned,,http://cchdo.ucsd.edu/search?query=ar07,"Alkalinity (total), Dissolved Inorg. Carbon, Oxygen Concentration, Salinity, Water Temperature"
M_790,ARIOS-ECIMAT,ARIOS-ECIMAT,Mooring,42.202,-8.7985,http://www.iim.csic.es/?lang=en,"Ría de Vigo, Galicia, NW Spain, North Atlantic Ocean",Spain,IIM-CSIC,unassigned,,http://www.iim.csic.es/?lang=en,"pH, Water Temperature"
RH_518,ARO7E/AO1E,ARO7E/AO1E,Repeat Hydrography,52.33 :: 60.0017,-42.6667 :: -14.0,http://cchdo.ucsd.edu/search?query=ar07,North Atlantic Ocean,,GO-SHIP,unassigned,,http://cchdo.ucsd.edu/search?query=ar07,"Alkalinity (total), Dissolved Inorg. Carbon, Oxygen Concentration, Salinity, Water Temperature"
FOTS_634,AWIPEV-CO2,AWIPEV-CO2,Fixed Ocean Time Series,78.9304,11.919,https://awipev-co2.obs-vlfr.fr,"Arctic, Arctic Ocean",Norway,AWIPEV,unassigned,,https://awipev-co2.obs-vlfr.fr,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, pH, Salinity, Water Temperature"
STS_X_387,AZTI Station D2 (S,AZTI Station D2 (Southeastern Bay of Biscay),Ship-based Time Series,43.450000 :: 43.460000,-1.920000 :: -1.910000,https://www.azti.es/es/investigacion-marina-5/proyectos-de-investigacion-marina/,"Bay of Biscay, North Atlantic Ocean",Spain,AZTI,unassigned,,https://www.azti.es/es/investigacion-marina-5/proyectos-de-investigacion-marina/,"Ammonium Concentration, Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, Phosphate Concentration, Phytoplankton, Salinity, Silicate Concentration, Water Depth, Water Temperature"
M_92,Alegria,Alegria,Mooring,34.4616,-120.2901,http://omegas.science.oregonstate.edu/,North Pacific Ocean,US,UC Santa Barbara,unassigned,,http://omegas.science.oregonstate.edu/,"CO2 Water, pH"
FOTS_3,"Alegria, CA","Alegria, CA",Fixed Ocean Time Series,34.47,-120.28,http://omegas.science.oregonstate.edu/,North Pacific Ocean,US,UC Santa Barbara,unassigned,,http://omegas.science.oregonstate.edu/,"CO2 Water, pH"
FOTS_631,American Camp SAJH,American Camp SAJH,Fixed Ocean Time Series,48.4656,-123.0118,https://www.nps.gov/olym/index.htm,"Salish Sea, North Pacific Ocean",US,NPS,unassigned,,https://www.nps.gov/olym/index.htm,"Oxygen Concentration, pH, Salinity, Water Temperature"
FOTS_4,Anacapa Island,Anacapa Island,Fixed Ocean Time Series,34.0165,-119.3622,http://www.hofmannlab.com/coastal-california-studies.html,North Pacific Ocean,US,UC Santa Barbara,unassigned,,http://www.hofmannlab.com/coastal-california-studies.html,"pH, Water Temperature"
STS_X_293,Anticosti Gyre (Gu,Anticosti Gyre (Gulf of St Lawrence),Ship-based Time Series,49.700000 :: 49.710000,-66.300000 :: -66.290000,,"Gulf of St-Lawrence, North Atlantic Ocean",Canada,NA,unassigned,,,"Chlorophyll, Water Temperature, Zooplankton"
STS_X_646,Antofagasta,Antofagasta,Ship-based Time Series,-23.460140 :: -23.450140,-70.622220 :: -70.612220,http://www.ceaza.cl/,"Eastern South Pacific, South Pacific Ocean",Chile,CEAZA,unassigned,,http://www.ceaza.cl/,"Alkalinity (total), Chlorophyll, Oxygen Concentration, pH, Salinity, Water Temperature"
STS_X_443,Arabian Sea Time-S,Arabian Sea Time-Series (ASTS),Ship-based Time Series,17.000000 :: 17.010000,68.000000 :: 68.010000,,"Arabian Sea, Indian Ocean",India,NA,unassigned,,,"Bacteria, Chlorophyll, Cyanobacteria, Dissolved Inorg. Carbon, Oxygen Concentration, Phytoplankton, Salinity, Water Depth, Water Temperature, Zooplankton"
STS_X_381,Arendal Station 2 ,Arendal Station 2 (Northern Skagerrak),Ship-based Time Series,58.400000 :: 58.410000,8.800000 :: 8.810000,http://www.imr.no,"Skaggerak, North Atlantic Ocean",Norway,IMR,unassigned,,http://www.imr.no,"Ammonium Concentration, Chlorophyll, Nitrate, Nitrite Concentration, Phosphate Concentration, Salinity, Silicate Concentration, Water Depth, Water Temperature, Zooplankton"
STS_X_279,Arkona Basin,Arkona Basin,Ship-based Time Series,54.900000 :: 54.910000,13.050000 :: 13.060000,https://www.io-warnemuende.de/,"Baltic Sea, North Atlantic Ocean",Germany,IOW,unassigned,,https://www.io-warnemuende.de/,"Ammonium Concentration, Bacteria, Chlorophyll, Cyanobacteria, Nitrate, Nitrite Concentration, Particulate Organic Carbon, Particulate Organic Nitrogen, Phytoplankton, Salinity, Silicate Concentration, Water Depth, Water Temperature, Zooplankton"
RH_590,Atlantic Zone Moni,Atlantic Zone Monitoring Program (AZMP),Repeat Hydrography,41.87**-62.11 :: 45.66,-66.14 :: -57.84,http://www.meds-sdmm.dfo-mpo.gc.ca/isdm-gdsi/azmp-pmza/index-eng.html,North Atlantic Ocean,Canada,DFO,unassigned,,http://www.meds-sdmm.dfo-mpo.gc.ca/isdm-gdsi/azmp-pmza/index-eng.html,"CO2 Water, Oxygen Concentration"
STS_X_637,B2,B2,Ship-based Time Series,34.247600 :: 34.257600,35.601100 :: 35.611100,http://www.cnrs.edu.lb/english/home,"Mediterranean Sea - Eastern Basin, North Atlantic Ocean",Lebanon,CNRS-L,unassigned,,http://www.cnrs.edu.lb/english/home,"Alkalinity (total), Chlorophyll, Dissolved Inorg. Carbon, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Phytoplankton, Salinity, Water Temperature, Zooplankton"
STS_X_404,BATS (inc. Hydrost,BATS (inc. Hydrostation S),Ship-based Time Series,31.700000 :: 31.710000,-64.200000 :: -64.190000,http://bats.bios.edu/,North Atlantic Ocean,US,BIOS,unassigned,,http://bats.bios.edu/,"Alkalinity (total), Bacteria, Chlorophyll, CO2 Water, Cyanobacteria, Dissolved Inorg. Carbon, Dissolved Organic Carbon, Dissolved Organic Nitrogen, Dissolved Organic Phosphorus, Nitrate, Nitrite Concentration, Oxygen Concentration, Particulate Organic Carbon, Particulate Organic Nitrogen, Particulate Organic Phosphorus, Phosphate Concentration, Phytoplankton, Primary production, Salinity, Silicate Concentration, Water Depth, Water Temperature, Zooplankton"
M_594,BCSS1,BCSS1,Mooring,-21.4454,35.5051,https://bcssmz.org/,"Mozambique Channel, Indian Ocean",Mozambique,BCSS,unassigned,,https://bcssmz.org/,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Water Temperature"
M_595,BCSS2,BCSS2,Mooring,-21.5221,35.5133,https://bcssmz.org/,"Mozambique Channel, Indian Ocean",Mozambique,BCSS,unassigned,,https://bcssmz.org/,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Water Temperature"
M_598,BCSS3,BCSS3,Mooring,-21.7978,35.4941,https://bcssmz.org/,"Mozambique Channel, Indian Ocean",Mozambique,BCSS,unassigned,,https://bcssmz.org/,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Water Temperature"
M_596,BCSS4,BCSS4,Mooring,-21.7416,35.387,https://bcssmz.org/,"Mozambique Channel, Indian Ocean",Mozambique,BCSS,unassigned,,https://bcssmz.org/,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Water Temperature"
M_597,BCSS5,BCSS5,Mooring,-21.808,35.4089,https://bcssmz.org/,"Mozambique Channel, Indian Ocean",Mozambique,BCSS,unassigned,,https://bcssmz.org/,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Water Temperature"
M_599,BCSS6,BCSS6,Mooring,-21.9303,35.4749,https://bcssmz.org/,"Mozambique Channel, Indian Ocean",Mozambique,BCSS,unassigned,,https://bcssmz.org/,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Water Temperature"
M_601,BCSS7,BCSS7,Mooring,-22.1213,35.571,https://bcssmz.org/,"Mozambique Channel, Indian Ocean",Mozambique,BCSS,unassigned,,https://bcssmz.org/,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Water Temperature"
M_600,BCSS8,BCSS8,Mooring,-22.0907,35.4199,https://bcssmz.org/,"Mozambique Channel, Indian Ocean",Mozambique,BCSS,unassigned,,https://bcssmz.org/,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Water Temperature"
FOTS_6,BHS UFS EMS,BHS UFS EMS,Fixed Ocean Time Series,54.1667,6.35,,"North Sea, North Atlantic Ocean",,NA,unassigned,,,"CO2 Water, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Water Temperature"
FOTS_7,BHS UFS German Big,BHS UFS German Bight,Fixed Ocean Time Series,54.1667,7.45,,"North Sea, North Atlantic Ocean",,NA,unassigned,,,"CO2 Water, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Water Temperature"
M_788,BOATS,BOATS,Mooring,39.4992,2.7025,http://socib.es/,"Balearic Sea, North Atlantic Ocean",Spain,CSIC,unassigned,,http://socib.es/,"pH, Salinity, Water Temperature"
STS_204,BOG Time Series,BOG Time Series,Ship-based Time Series,36.697 :: 36.797,-122.378 :: -121.847,,North Pacific Ocean,US,MBARI,unassigned,,,"Chlorophyll, CO2 Water, Dissolved Inorg. Carbon, Primary production, Salinity, Water Temperature"
STS_216,BSH German Bight,BSH German Bight,Ship-based Time Series,53.673 :: 55.916,3.35 :: 8.383,,"North Sea, North Atlantic Ocean",Germany,BSH,unassigned,,,"Ammonium Concentration, Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Turbidity, Water Temperature"
STS_215,BSH NorthSea,BSH NorthSea,Ship-based Time Series,47.0 :: 62.5,-7.0 :: 8.416666667,,"North Sea, North Atlantic Ocean",Germany,BSH,unassigned,,,"Ammonium Concentration, Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Turbidity, Water Temperature"
STS_X_418,Bahia Blanca,Bahia Blanca,Ship-based Time Series,-38.500000 :: -38.490000,-62.200000 :: -62.190000,,"Argentina, South Atlantic Ocean",Argentina,NA,unassigned,,,"Ammonium Concentration, Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Phytoplankton, Salinity, Silicate Concentration, Turbidity, Water Temperature, Zooplankton"
STS_X_423,Bahia Blanca,Bahia Blanca,Ship-based Time Series,-38.500000 :: -38.490000,-62.200000 :: -62.190000,,South Atlantic Ocean,Argentina,NA,unassigned,,,"Ammonium Concentration, Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Phytoplankton, Salinity, Silicate Concentration, Turbidity, Water Temperature, Zooplankton"
OP_364,Banyuls / CNRS Fra,Banyuls / CNRS France,Other Platform,3.3278,42.5666,http://sooob.obs-banyuls.fr/fr/visualisation_et_demande_de_donnees/les_donnees_des_stations_pola_et_mola.html,Indian Ocean,France,NA,unassigned,,http://sooob.obs-banyuls.fr/fr/visualisation_et_demande_de_donnees/les_donnees_des_stations_pola_et_mola.html,"Ammonium Concentration, Bacteria, Chlorophyll, Oxygen Concentration, pH, Salinity, Water Temperature"
OP_377,Barcelona - SOL,Barcelona - SOL,Other Platform,41.3809,2.1997,,"Balearic Sea, North Atlantic Ocean",Spain,NA,unassigned,,,Phytoplankton
VOS_242,Barcelona Express,Barcelona Express,Volunteer Observing Ship,24.194 :: 44.2816,-94.998 :: 10.2806,http://www.aoml.noaa.gov/ocd/gcc/barcelona_realtime.php,"Gulf of Mexico, North Atlantic Ocean",US,"NOAA, AOML",unassigned,,http://www.aoml.noaa.gov/ocd/gcc/barcelona_realtime.php,"CO2 Water, Salinity, Water Temperature"
STS_202,Barents Sea - IMR,Barents Sea - IMR,Ship-based Time Series,70.667 :: 74.167,19.183 :: 19.967,http://www.imr.no/tokt/okosystemtokt_i_barentshavet/en,"Norwegian Sea, North Atlantic Ocean",Norway,IMR,unassigned,,http://www.imr.no/tokt/okosystemtokt_i_barentshavet/en,
OP_5,Barkley Canyon,Barkley Canyon,Other Platform,48.333,-126,http://www.neptunecanada.ca/,North Pacific Ocean,Canada,ONC,unassigned,,http://www.neptunecanada.ca/,"CO2 Water, Oxygen Concentration, pH, Salinity, Water Temperature"
STS_203,Barrow Strait (CAA,"Barrow Strait (CAA, Canadian Arctic Archipelago)",Ship-based Time Series,74.09 :: 74.54,-91.0 :: -90.14,http://www.bio-iob.gc.ca/science/newtech-technouvelles/observatory-observatoire-eng.php,"Northwestern Passages, Arctic Ocean",Canada,BIO,unassigned,,http://www.bio-iob.gc.ca/science/newtech-technouvelles/observatory-observatoire-eng.php,"Alkalinity (total), Dissolved Inorg. Carbon, Salinity, Water Temperature"
STS_X_270,Barrow Strait,Barrow Strait,Ship-based Time Series,74.090000 :: 74.100000,-90.440000 :: -90.430000,,"Northwestern Passages, Arctic Ocean",Canada,NA,unassigned,,,"Alkalinity (total), Ammonium Concentration, Dissolved Inorg. Carbon, Nitrate, Nitrite Concentration, pH, Phosphate Concentration, Silicate Concentration"
FOTS_553,Barrrang Lompo,Barrrang Lompo,Fixed Ocean Time Series,5.0431,119.3251,http://iocwestpac.org/,"Celebes Sea, North Pacific Ocean",Indonesia,NA,unassigned,,http://iocwestpac.org/,"Alkalinity (total), Oxygen Concentration, pH, Salinity, Water Temperature"
STS_X_444,Bay of Bengal Time,Bay of Bengal Time-Series (BBTS),Ship-based Time Series,18.000000 :: 18.010000,89.260000 :: 89.270000,,"Bay of Bengal, Indian Ocean",India,NA,unassigned,,,"Bacteria, Chlorophyll, Cyanobacteria, Dissolved Inorg. Carbon, Oxygen Concentration, Phytoplankton, Salinity, Water Depth, Water Temperature, Zooplankton"
STS_X_361,Bay of Calvi (Cors,Bay of Calvi (Corsica),Ship-based Time Series,42.570000 :: 42.580000,8.720000 :: 8.730000,,North Atlantic Ocean,Belgium,NA,unassigned,,,
STS_X_294,Bay of Fundy,Bay of Fundy,Ship-based Time Series,45.000000 :: 45.010000,-66.800000 :: -66.790000,https://www.st.nmfs.noaa.gov/copepod/time-series/ca-50501/,"Bay of Fundy, North Atlantic Ocean",Canada,NA,unassigned,,https://www.st.nmfs.noaa.gov/copepod/time-series/ca-50501/,"Ammonium Concentration, Chlorophyll, Nitrate, Nitrite Concentration, Phosphate Concentration, Phytoplankton, Salinity, Silicate Concentration, Water Depth, Water Temperature, Zooplankton"
STS_X_452,Bay of Mejillones ,Bay of Mejillones (Zoo),Ship-based Time Series,-23.010000 :: -23.000000,-70.470000 :: -70.460000,,"Chile, South Pacific Ocean",Chile,NA,unassigned,,,Zooplankton
STS_610,Beachy Island,Beachy Island,Ship-based Time Series,57.058 :: 57.883,-61.305 :: -58.583,,"Labrador Sea, North Atlantic Ocean",Canada,DFO,unassigned,,,"Alkalinity (total), Ammonium Concentration, Chlorophyll, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Turbidity, Water Temperature"
M_613,Beaufort Gyre Moor,Beaufort Gyre Mooring A,Mooring,75,-150,http://hs.umt.edu/chemistry/people/faculty.php?s=DeGrandpre,"Beaufort Gyre, Arctic Ocean",US,University of Montana,unassigned,,http://hs.umt.edu/chemistry/people/faculty.php?s=DeGrandpre,"CO2 Water, Oxygen Concentration, pH, Salinity, Water Temperature"
M_614,Beaufort Gyre Moor,Beaufort Gyre Mooring B,Mooring,78,-150,http://hs.umt.edu/chemistry/people/faculty.php?s=DeGrandpre,"Beaufort Gyre, Canada Basin, Arctic Ocean",US,University of Montana,unassigned,,http://hs.umt.edu/chemistry/people/faculty.php?s=DeGrandpre,"CO2 Water, Oxygen Concentration, pH, Salinity, Water Temperature"
M_615,Beaufort Gyre Moor,Beaufort Gyre Mooring D,Mooring,74,-140,http://hs.umt.edu/chemistry/people/faculty.php?s=DeGrandpre,"Beaufort Gyre, Canada Basin, Arctic Ocean",US,University of Montana,unassigned,,http://hs.umt.edu/chemistry/people/faculty.php?s=DeGrandpre,"CO2 Water, Oxygen Concentration, pH, Salinity, Water Temperature"
STS_X_295,Bedford Basin,Bedford Basin,Ship-based Time Series,44.700000 :: 44.710000,-63.600000 :: -63.590000,http://www.bio.gc.ca/science/monitoring-monitorage/bbmp-pobb/bbmp-pobb-en.php,"Northwest Atlantic Shelf, North Atlantic Ocean",Canada,BIO,unassigned,,http://www.bio.gc.ca/science/monitoring-monitorage/bbmp-pobb/bbmp-pobb-en.php,"Ammonium Concentration, Bacteria, Chlorophyll, Cyanobacteria, Nitrate, Nitrite Concentration, Oxygen Concentration, Particulate Organic Carbon, Particulate Organic Nitrogen, Particulate Organic Phosphorus, Phosphate Concentration, Phytoplankton, Salinity, Silicate Concentration, Water Depth, Water Temperature"
VOS_244,Bering Sea,Bering Sea,Volunteer Observing Ship,48.8471 :: 62.6941,-178.4816 :: -128.4252,http://www.pmel.noaa/gov/co2/,North Pacific Ocean,US,"NOAA, PMEL",unassigned,,http://www.pmel.noaa/gov/co2/,"CO2 Water, Dissolved Inorg. Carbon, Oxygen Concentration, pH, Water Temperature"
STS_X_512,Bilbao Estuary 35 ,Bilbao Estuary 35 (Inner Bay of Biscay),Ship-based Time Series,43.400000 :: 43.410000,-3.000000 :: -2.990000,https://www.ehu.eus/en/en-home,"Bay of Biscay, North Atlantic Ocean",Spain,NA,unassigned,,https://www.ehu.eus/en/en-home,"Chlorophyll, Oxygen Concentration, Phytoplankton, Salinity, Water Depth, Water Temperature, Zooplankton"
ARGO_700,Biogeochemical (BG,Biogeochemical (BGC) Argo Float 5904186,BGC Argo Float,-55.494 :: -47.751,-149.997 :: -93.029,https://soccom.princeton.edu,South Pacific Ocean,USA,SOCCOM,unassigned,,https://soccom.princeton.edu,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Oxygen Concentration, pH, Pressure, Salinity, Water Temperature"
ARGO_701,Biogeochemical (BG,Biogeochemical (BGC) Argo Float 5904657,BGC Argo Float,-56.789 :: -43.076,-57.205 :: -4.045,https://soccom.princeton.edu,South Atlantic Ocean,USA,SOCCOM,unassigned,,https://soccom.princeton.edu,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Pressure, Salinity, Water Temperature"
ARGO_702,Biogeochemical (BG,Biogeochemical (BGC) Argo Float 5904658,BGC Argo Float,-58.858 :: -42.767,-57.354 :: 22.226,https://soccom.princeton.edu,Indian Ocean,USA,SOCCOM,unassigned,,https://soccom.princeton.edu,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Pressure, Salinity, Water Temperature"
ARGO_703,Biogeochemical (BG,Biogeochemical (BGC) Argo Float 5904659,BGC Argo Float,-59.845 :: -48.347,-55.383 :: 51.726,https://soccom.princeton.edu,Indian Ocean,USA,SOCCOM,unassigned,,https://soccom.princeton.edu,"Alkalinity (total), Chlorophyll, CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Pressure, Salinity, Water Temperature"
ARGO_704,Biogeochemical (BG,Biogeochemical (BGC) Argo Float 5904660,BGC Argo Float,-60.64 :: -46.343,-54.635 :: -9.762,https://soccom.princeton.edu,South Atlantic Ocean,USA,SOCCOM,unassigned,,https://soccom.princeton.edu,"Alkalinity (total), Chlorophyll, CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Pressure, Salinity, Water Temperature"
ARGO_705,Biogeochemical (BG,Biogeochemical (BGC) Argo Float 5904661,BGC Argo Float,-58.275 :: -39.14,-89.735 :: -24.481,https://soccom.princeton.edu,South Atlantic Ocean,USA,SOCCOM,unassigned,,https://soccom.princeton.edu,"Alkalinity (total), Chlorophyll, CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Pressure, Salinity, Water Temperature"
ARGO_706,Biogeochemical (BG,Biogeochemical (BGC) Argo Float 5904663,BGC Argo Float,-53.872 :: -44.814,-82.59 :: -75.82,https://soccom.princeton.edu,South Pacific Ocean,USA,SOCCOM,unassigned,,https://soccom.princeton.edu,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Pressure, Salinity, Water Temperature"
ARGO_707,Biogeochemical (BG,Biogeochemical (BGC) Argo Float 5904674,BGC Argo Float,-42.218 :: -35.533,-179.931 :: 179.983,https://soccom.princeton.edu,South Pacific Ocean,USA,SOCCOM,unassigned,,https://soccom.princeton.edu,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Nitrate, Oxygen Concentration, pH, Pressure, Salinity, Water Temperature"
